x, y, theta, left_speed, right_speed, left_bump, right_bump
16.26,0.64,0.06,0.11,0.12,0.09,0.08
31.65,1.73,0.08,0.17,0.19,0.07,0.07
48.02,3.02,0.08,0.16,0.17,0.07,0.08
63.25,4.29,0.08,0.22,0.22,0.06,0.08
77.93,5.54,0.08,0.27,0.27,0.07,0.09
93.31,6.80,0.08,0.25,0.25,0.06,0.06
108.41,8.01,0.08,0.22,0.21,0.05,0.07
125.75,9.41,0.08,0.28,0.28,0.05,0.05
143.65,10.85,0.08,0.22,0.22,0.05,0.07
161.13,12.26,0.08,0.29,0.30,0.04,0.06
177.78,13.44,0.06,0.25,0.24,0.05,0.05
194.87,14.44,0.05,0.34,0.34,0.03,0.04
213.78,15.47,0.05,0.50,0.48,0.04,0.06
231.30,16.34,0.05,0.40,0.40,0.03,0.05
246.15,17.07,0.05,0.37,0.37,0.05,0.07
264.37,17.88,0.04,0.25,0.25,0.05,0.06
279.37,18.52,0.04,0.39,0.36,0.04,0.06
294.93,19.11,0.04,0.39,0.36,0.03,0.06
310.21,19.62,0.03,0.33,0.33,0.03,0.06
327.32,20.15,0.03,0.31,0.32,0.03,0.06
342.74,20.52,0.02,0.31,0.29,0.03,0.06
358.03,20.77,0.02,0.41,0.41,0.03,0.06
373.60,20.98,0.01,0.30,0.29,0.04,0.07
390.30,21.03,-0.00,0.33,0.31,0.02,0.04
408.11,20.96,-0.01,0.28,0.27,0.04,0.07
425.65,20.75,-0.02,0.33,0.31,0.03,0.05
441.64,20.47,-0.02,0.56,0.53,0.04,0.04
459.03,20.02,-0.03,0.25,0.24,0.05,0.04
475.58,19.55,-0.03,0.40,0.38,0.04,0.03
491.98,19.01,-0.04,0.31,0.31,0.04,0.03
508.66,18.31,-0.04,0.33,0.31,0.05,0.06
526.46,17.53,-0.05,0.26,0.26,0.05,0.06
543.70,16.74,-0.05,0.40,0.42,0.06,0.06
561.35,15.89,-0.05,0.34,0.34,0.07,0.07
578.31,15.07,-0.05,0.62,0.60,0.06,0.05
597.36,14.07,-0.05,0.26,0.28,0.04,0.05
612.07,13.29,-0.05,0.28,0.26,0.05,0.06
630.28,12.28,-0.05,0.43,0.43,0.05,0.05
645.13,11.45,-0.05,0.45,0.45,0.05,0.04
663.06,10.48,-0.05,0.34,0.34,0.04,0.04
680.71,9.51,-0.05,0.35,0.35,0.05,0.06
695.70,8.66,-0.06,0.36,0.34,0.05,0.04
714.74,7.55,-0.06,0.26,0.28,0.05,0.06
730.43,6.63,-0.06,0.36,0.36,0.05,0.06
749.34,5.54,-0.06,0.29,0.31,0.05,0.06
764.88,4.62,-0.06,0.34,0.36,0.07,0.07
779.58,3.73,-0.06,0.35,0.34,0.05,0.05
798.48,2.51,-0.06,0.29,0.28,0.07,0.09
813.74,1.50,-0.07,0.34,0.35,0.07,0.07
829.14,0.45,-0.07,0.36,0.36,0.05,0.06
843.84,-0.53,-0.06,0.22,0.24,0.05,0.05
859.24,-1.53,-0.06,0.36,0.36,0.07,0.07
874.22,-2.49,-0.06,0.35,0.36,0.05,0.03
893.54,-3.70,-0.06,0.26,0.28,0.03,0.04
908.94,-4.69,-0.06,0.26,0.26,0.05,0.05
926.86,-5.76,-0.05,0.43,0.43,0.06,0.06
942.27,-6.61,-0.05,0.45,0.45,0.07,0.07
957.40,-7.41,-0.05,0.45,0.45,0.07,0.09
975.62,-8.31,-0.05,0.25,0.25,0.05,0.06
991.17,-9.07,-0.05,0.37,0.36,0.08,0.11
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
