x, y, theta, left_speed, right_speed, left_bump, right_bump
15.98,0.62,0.06,0.12,0.12,0.18,0.15
31.39,1.49,0.06,0.16,0.15,0.16,0.11
46.93,2.46,0.06,0.20,0.20,0.16,0.14
62.89,3.48,0.07,0.27,0.26,0.12,0.13
77.58,4.47,0.07,0.23,0.25,0.09,0.10
94.09,5.68,0.08,0.31,0.30,0.11,0.11
111.01,7.05,0.08,0.28,0.29,0.09,0.10
128.35,8.45,0.08,0.28,0.26,0.08,0.09
146.11,9.88,0.08,0.21,0.21,0.08,0.12
161.36,11.06,0.07,0.38,0.38,0.09,0.07
177.31,12.24,0.07,0.31,0.31,0.07,0.08
193.68,13.46,0.08,0.33,0.33,0.07,0.10
211.44,14.82,0.07,0.25,0.27,0.06,0.09
228.65,16.11,0.07,0.24,0.24,0.07,0.10
246.00,17.36,0.07,0.34,0.34,0.05,0.12
263.21,18.56,0.07,0.35,0.35,0.04,0.09
278.05,19.52,0.06,0.65,0.61,0.03,0.07
292.90,20.38,0.05,0.35,0.35,0.05,0.10
312.23,21.39,0.05,0.28,0.26,0.07,0.14
328.91,22.17,0.05,0.40,0.38,0.08,0.11
345.59,22.84,0.04,0.34,0.33,0.07,0.10
363.25,23.43,0.03,0.35,0.33,0.06,0.11
381.21,23.86,0.02,0.28,0.25,0.06,0.10
398.88,24.10,0.01,0.43,0.43,0.05,0.07
416.56,24.24,0.00,0.27,0.26,0.05,0.08
433.81,24.22,-0.01,0.62,0.60,0.08,0.11
452.89,24.02,-0.01,0.26,0.25,0.06,0.07
470.14,23.72,-0.02,0.40,0.38,0.09,0.11
488.09,23.26,-0.03,0.25,0.25,0.11,0.10
504.78,22.75,-0.03,0.59,0.57,0.08,0.07
522.31,22.16,-0.04,0.24,0.25,0.12,0.10
540.53,21.47,-0.04,0.29,0.29,0.10,0.10
557.35,20.75,-0.05,0.37,0.35,0.15,0.14
574.86,19.85,-0.05,0.34,0.34,0.09,0.07
592.10,18.94,-0.05,0.31,0.31,0.09,0.10
610.16,17.89,-0.06,0.29,0.29,0.10,0.08
627.39,16.89,-0.06,0.40,0.38,0.09,0.10
642.09,15.96,-0.06,0.34,0.34,0.11,0.10
659.73,14.82,-0.06,0.31,0.31,0.11,0.11
677.23,13.70,-0.07,0.36,0.34,0.08,0.08
695.70,12.44,-0.07,0.29,0.29,0.10,0.11
710.40,11.47,-0.06,0.28,0.29,0.08,0.12
727.90,10.30,-0.07,0.37,0.37,0.07,0.11
745.95,9.05,-0.07,0.34,0.36,0.10,0.11
763.72,7.75,-0.08,0.36,0.34,0.06,0.10
778.40,6.55,-0.08,0.36,0.36,0.08,0.12
793.08,5.28,-0.09,0.36,0.34,0.08,0.13
810.82,3.63,-0.10,0.29,0.27,0.09,0.19
828.13,1.91,-0.10,0.37,0.35,0.09,0.14
845.56,-0.00,-0.12,0.26,0.24,0.09,0.14
860.88,-1.87,-0.13,0.45,0.42,0.10,0.15
878.13,-4.14,-0.14,0.25,0.23,0.09,0.14
895.62,-6.69,-0.15,0.34,0.32,0.09,0.12
914.47,-9.65,-0.16,0.29,0.27,0.09,0.12
930.92,-12.49,-0.18,0.27,0.25,0.10,0.13
945.68,-15.23,-0.19,0.30,0.27,0.13,0.13
963.84,-18.81,-0.20,0.36,0.34,0.11,0.11
980.73,-22.37,-0.21,0.37,0.35,0.12,0.10
998.67,-26.34,-0.22,0.36,0.34,0.15,0.10
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
