x, y, theta, left_speed, right_speed, left_bump, right_bump
15.15,0.19,0.02,0.15,0.14,0.18,0.10
32.12,0.44,0.01,0.26,0.23,0.13,0.06
47.55,0.55,0.01,0.38,0.40,0.11,0.08
63.54,0.83,0.02,0.26,0.27,0.09,0.09
78.55,1.13,0.01,0.29,0.27,0.10,0.11
94.54,1.28,0.00,0.34,0.35,0.06,0.08
111.10,1.27,-0.01,0.37,0.35,0.05,0.07
129.05,1.14,-0.01,0.43,0.43,0.07,0.08
145.75,0.95,-0.02,0.39,0.37,0.07,0.07
160.90,0.69,-0.02,0.32,0.32,0.07,0.06
175.76,0.36,-0.02,0.31,0.31,0.07,0.04
191.19,-0.00,-0.02,0.32,0.32,0.09,0.05
208.02,-0.38,-0.02,0.36,0.35,0.08,0.04
225.69,-0.75,-0.02,0.36,0.37,0.09,0.03
243.37,-1.02,-0.02,0.39,0.39,0.07,0.03
260.62,-1.26,-0.01,0.58,0.61,0.07,0.03
281.38,-1.49,-0.01,0.43,0.43,0.07,0.03
300.74,-1.68,-0.01,0.41,0.41,0.09,0.05
320.10,-1.75,-0.00,0.39,0.41,0.07,0.01
340.30,-1.70,0.01,0.64,0.66,0.10,0.05
359.24,-1.56,0.01,0.39,0.39,0.04,-0.00
378.04,-1.44,0.00,0.39,0.40,0.05,0.01
397.40,-1.33,0.01,0.39,0.39,0.06,0.03
415.64,-1.16,0.01,0.39,0.39,0.06,0.02
434.15,-0.98,0.01,0.37,0.38,0.08,0.04
452.39,-0.76,0.01,0.37,0.38,0.07,0.04
470.35,-0.63,0.00,0.39,0.39,0.04,0.02
488.58,-0.56,0.00,0.38,0.38,0.02,-0.00
506.54,-0.53,0.00,0.38,0.36,0.05,0.04
523.10,-0.44,0.00,0.33,0.34,0.04,0.02
539.93,-0.35,0.00,0.36,0.34,0.04,0.02
557.33,-0.29,0.00,0.42,0.39,0.06,0.04
573.32,-0.23,0.00,0.70,0.68,0.02,0.03
589.03,-0.18,0.00,0.37,0.39,0.05,0.07
604.60,-0.09,0.01,0.66,0.66,0.02,0.04
619.61,0.04,0.01,0.36,0.39,0.03,0.04
634.76,0.18,0.01,0.36,0.36,0.03,0.07
653.28,0.31,0.00,0.31,0.29,0.01,0.04
668.01,0.28,-0.01,0.29,0.27,0.03,0.06
682.74,0.15,-0.01,0.62,0.59,0.03,0.08
698.87,-0.01,-0.01,0.23,0.21,0.01,0.02
713.60,-0.15,-0.00,0.33,0.35,0.01,0.09
730.72,-0.21,-0.00,0.27,0.27,0.02,0.08
746.01,-0.28,-0.01,0.20,0.20,0.02,0.07
763.12,-0.44,-0.01,0.28,0.28,0.02,0.07
778.69,-0.58,-0.01,0.28,0.30,0.02,0.08
796.23,-0.70,0.00,0.21,0.22,0.01,0.07
812.36,-0.69,0.00,0.30,0.30,0.02,0.09
827.94,-0.61,0.01,0.22,0.22,0.03,0.11
843.65,-0.42,0.01,0.26,0.26,0.03,0.10
859.92,-0.19,0.01,0.20,0.19,0.01,0.11
875.21,-0.05,0.01,0.27,0.27,0.02,0.12
890.78,0.13,0.01,0.17,0.19,0.02,0.12
905.79,0.30,0.01,0.20,0.20,0.05,0.12
921.36,0.50,0.01,0.12,0.13,0.05,0.09
936.23,0.76,0.02,0.21,0.21,0.07,0.10
951.80,1.05,0.02,0.18,0.19,0.05,0.07
968.07,1.39,0.02,0.16,0.16,0.07,0.07
985.18,1.84,0.03,0.18,0.17,0.02,0.03
1000.60,2.33,0.04,0.22,0.24,0.04,0.05
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
