x, y, theta, left_speed, right_speed, left_bump, right_bump
14.73,0.01,-0.00,0.17,0.17,0.27,0.16
29.88,-0.05,-0.00,0.23,0.23,0.25,0.12
44.89,-0.11,0.00,0.20,0.19,0.27,0.11
62.15,-0.09,0.00,0.29,0.29,0.24,0.08
80.10,0.04,0.01,0.41,0.41,0.23,0.10
95.54,0.15,0.00,0.42,0.41,0.22,0.11
113.63,0.24,0.01,0.41,0.39,0.24,0.13
131.17,0.31,0.00,0.31,0.31,0.23,0.07
148.28,0.35,0.00,0.33,0.33,0.21,0.06
166.66,0.41,0.00,0.46,0.44,0.21,0.06
185.32,0.41,0.00,0.33,0.35,0.17,0.05
203.84,0.45,0.00,0.37,0.36,0.21,0.06
223.34,0.47,0.00,0.35,0.35,0.17,0.00
243.54,0.47,0.00,0.42,0.42,0.20,0.05
258.97,0.47,0.00,0.43,0.43,0.11,0.02
274.12,0.48,0.00,0.56,0.57,0.16,0.04
289.13,0.52,0.00,0.48,0.48,0.13,0.04
305.13,0.55,-0.00,0.48,0.45,0.14,0.03
323.92,0.49,-0.00,0.45,0.45,0.20,0.07
343.00,0.40,-0.00,0.32,0.33,0.14,0.05
360.54,0.40,0.00,0.37,0.39,0.07,0.03
376.11,0.43,0.00,0.38,0.38,0.04,0.01
392.53,0.43,0.00,0.28,0.26,0.20,0.12
410.20,0.41,0.00,0.52,0.53,0.10,0.06
426.48,0.41,0.00,0.45,0.46,0.09,0.07
442.33,0.45,0.00,0.48,0.48,0.09,0.08
458.32,0.51,0.00,0.28,0.28,0.12,0.10
473.61,0.60,0.01,0.43,0.43,0.10,0.10
489.60,0.74,0.01,0.48,0.48,0.07,0.06
505.60,0.81,0.00,0.30,0.28,0.10,0.10
521.17,0.77,-0.00,0.30,0.30,0.09,0.07
539.13,0.72,-0.00,0.37,0.37,0.08,0.10
554.98,0.67,-0.01,0.34,0.32,0.08,0.09
570.83,0.59,-0.00,0.34,0.32,0.10,0.10
586.26,0.57,-0.00,0.32,0.34,0.08,0.07
601.69,0.55,-0.00,0.32,0.32,0.06,0.08
616.71,0.50,-0.01,0.32,0.31,0.06,0.07
632.00,0.40,-0.00,0.31,0.32,0.09,0.07
646.87,0.35,-0.00,0.31,0.31,0.11,0.07
661.88,0.30,-0.01,0.34,0.34,0.17,0.10
680.11,0.22,-0.01,0.27,0.27,0.21,0.10
696.95,0.14,-0.01,0.29,0.27,0.16,0.07
714.20,0.03,-0.00,0.31,0.34,0.16,0.07
731.18,-0.01,0.00,0.29,0.29,0.17,0.07
747.45,0.03,0.01,0.23,0.22,0.22,0.14
764.85,0.07,0.00,0.27,0.29,0.23,0.10
782.53,0.09,0.00,0.24,0.22,0.26,0.10
799.36,0.04,-0.01,0.19,0.19,0.20,0.07
816.62,-0.03,0.00,0.20,0.22,0.20,0.07
831.34,0.10,0.01,0.25,0.28,0.24,0.13
846.35,0.33,0.02,0.25,0.23,0.21,0.10
861.78,0.66,0.02,0.17,0.19,0.21,0.08
876.93,1.00,0.02,0.25,0.23,0.21,0.08
891.94,1.29,0.02,0.17,0.18,0.21,0.08
906.67,1.54,0.02,0.29,0.28,0.21,0.08
923.08,1.78,0.01,0.21,0.23,0.24,0.08
938.93,2.02,0.02,0.20,0.20,0.20,0.07
954.22,2.30,0.02,0.16,0.18,0.19,0.09
969.51,2.61,0.02,0.17,0.18,0.22,0.11
986.47,3.06,0.03,0.18,0.16,0.20,0.08
1001.90,3.42,0.02,0.20,0.20,0.18,0.08
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
