x, y, theta, left_speed, right_speed, left_bump, right_bump
16.41,-0.11,-0.01,0.20,0.18,0.22,0.09
32.97,-0.20,-0.00,0.23,0.23,0.13,0.04
48.12,-0.24,-0.00,0.30,0.33,0.10,0.03
67.20,-0.22,0.00,0.47,0.49,0.12,0.06
85.57,-0.11,0.01,0.37,0.39,0.14,0.09
105.49,0.15,0.01,0.38,0.37,0.08,0.07
122.75,0.40,0.02,0.32,0.34,0.07,0.09
140.00,0.65,0.01,0.38,0.36,0.06,0.11
157.96,0.86,0.01,0.42,0.42,0.05,0.13
174.65,0.95,0.00,0.42,0.42,0.05,0.13
190.92,0.94,-0.00,0.71,0.71,0.03,0.11
206.64,0.85,-0.01,0.34,0.34,-0.01,0.06
221.37,0.69,-0.01,0.36,0.36,0.07,0.15
239.04,0.46,-0.01,0.41,0.41,0.04,0.11
254.89,0.26,-0.01,0.40,0.40,0.03,0.07
272.15,0.01,-0.01,0.37,0.38,0.03,0.08
288.00,-0.18,-0.01,0.29,0.31,0.03,0.06
302.87,-0.29,-0.00,0.33,0.35,0.03,0.07
320.82,-0.30,0.00,0.25,0.27,0.03,0.05
338.36,-0.17,0.01,0.43,0.43,0.05,0.08
353.09,-0.01,0.01,0.28,0.26,0.05,0.08
367.96,0.12,0.01,0.41,0.43,0.06,0.09
382.97,0.23,0.01,0.28,0.26,0.03,0.05
397.98,0.29,0.00,0.45,0.45,0.05,0.06
415.94,0.34,0.00,0.36,0.36,0.04,0.06
430.81,0.38,0.00,0.34,0.34,0.04,0.06
445.54,0.43,0.00,0.27,0.26,0.04,0.04
460.69,0.45,0.00,0.39,0.38,0.04,0.04
475.56,0.38,-0.01,0.27,0.26,0.06,0.06
490.57,0.29,-0.00,0.36,0.36,0.06,0.06
508.11,0.19,-0.01,0.33,0.33,0.06,0.06
526.06,0.06,-0.01,0.24,0.22,0.07,0.07
542.06,-0.04,-0.01,0.38,0.38,0.07,0.07
558.61,-0.19,-0.01,0.33,0.33,0.06,0.05
574.74,-0.39,-0.01,0.30,0.33,0.06,0.04
591.01,-0.54,-0.01,0.23,0.22,0.07,0.08
606.02,-0.64,-0.00,0.23,0.22,0.03,0.02
620.75,-0.60,0.00,0.28,0.28,0.05,0.05
638.71,-0.54,0.00,0.21,0.21,0.05,0.06
655.27,-0.50,0.00,0.27,0.27,0.07,0.07
671.96,-0.46,-0.00,0.22,0.22,0.03,0.03
686.97,-0.45,0.00,0.22,0.25,0.06,0.03
701.98,-0.33,0.01,0.16,0.18,0.09,0.08
717.83,-0.11,0.02,0.22,0.22,0.05,0.04
734.24,0.17,0.02,0.23,0.22,0.06,0.06
750.80,0.48,0.02,0.23,0.23,0.06,0.05
767.35,0.79,0.02,0.25,0.25,0.07,0.07
783.06,1.08,0.02,0.16,0.17,0.08,0.08
798.91,1.35,0.02,0.19,0.17,0.12,0.12
813.63,1.59,0.02,0.19,0.19,0.11,0.11
828.36,1.90,0.02,0.24,0.24,0.10,0.08
843.51,2.21,0.02,0.30,0.28,0.12,0.10
860.34,2.48,0.02,0.17,0.17,0.09,0.06
875.07,2.67,0.01,0.22,0.22,0.10,0.06
890.50,2.86,0.01,0.20,0.20,0.10,0.06
906.49,3.11,0.02,0.24,0.24,0.08,0.05
921.92,3.46,0.03,0.17,0.18,0.10,0.05
937.49,3.88,0.03,0.22,0.22,0.09,0.06
953.33,4.38,0.03,0.20,0.22,0.10,0.07
968.06,4.83,0.03,0.20,0.19,0.08,0.05
983.90,5.32,0.03,0.20,0.20,0.08,0.06
999.46,5.82,0.03,0.20,0.20,0.07,0.04
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
