x, y, theta, left_speed, right_speed, left_bump, right_bump
16.13,-0.04,-0.01,0.12,0.12,0.30,0.14
31.00,-0.25,-0.02,0.24,0.24,0.30,0.08
46.43,-0.47,-0.01,0.17,0.18,0.33,0.07
62.99,-0.51,0.01,0.22,0.25,0.27,0.07
78.98,-0.30,0.02,0.29,0.31,0.21,0.03
94.26,0.11,0.03,0.24,0.25,0.33,0.07
111.51,0.74,0.04,0.35,0.34,0.28,0.05
126.23,1.27,0.04,0.28,0.28,0.24,0.06
144.17,1.89,0.03,0.23,0.22,0.15,0.08
161.84,2.37,0.01,0.33,0.29,0.12,0.08
179.66,2.46,-0.00,0.37,0.37,0.10,0.07
195.23,2.38,-0.01,0.32,0.30,0.10,0.08
210.94,2.15,-0.02,0.43,0.44,0.07,0.06
225.81,1.84,-0.03,0.37,0.37,0.07,0.08
241.52,1.40,-0.03,0.37,0.35,0.03,0.07
256.94,0.88,-0.03,0.45,0.45,0.12,0.17
272.22,0.40,-0.03,0.43,0.43,0.02,0.08
288.07,-0.09,-0.03,0.45,0.43,0.06,0.10
303.49,-0.57,-0.03,0.45,0.45,0.05,0.07
319.48,-1.07,-0.03,0.44,0.45,0.04,0.06
335.60,-1.57,-0.03,0.41,0.42,0.09,0.10
351.17,-2.01,-0.03,0.43,0.45,0.09,0.10
366.88,-2.35,-0.01,0.39,0.40,0.07,0.10
382.03,-2.54,-0.01,0.29,0.30,0.09,0.10
398.30,-2.60,0.00,0.33,0.35,0.10,0.10
413.45,-2.60,0.00,0.29,0.29,0.08,0.10
428.46,-2.57,0.00,0.33,0.33,0.10,0.08
447.82,-2.51,0.00,0.33,0.33,0.10,0.10
462.69,-2.46,0.01,0.33,0.34,0.08,0.07
480.51,-2.28,0.01,0.29,0.29,0.13,0.14
497.06,-2.04,0.01,0.34,0.34,0.09,0.10
513.47,-1.73,0.02,0.31,0.31,0.10,0.10
530.58,-1.36,0.02,0.31,0.31,0.09,0.09
547.28,-1.11,0.01,0.58,0.56,0.09,0.07
564.39,-0.93,0.01,0.29,0.26,0.11,0.07
580.94,-0.86,0.00,0.35,0.35,0.10,0.09
596.38,-0.85,0.00,0.29,0.30,0.12,0.10
614.47,-0.89,-0.00,0.21,0.21,0.15,0.10
629.34,-0.91,-0.00,0.23,0.21,0.13,0.06
646.60,-0.96,0.00,0.28,0.30,0.16,0.08
662.59,-0.99,0.00,0.25,0.25,0.13,0.09
679.01,-0.96,0.00,0.20,0.19,0.15,0.08
694.16,-0.89,0.00,0.29,0.26,0.13,0.08
710.43,-0.83,0.01,0.22,0.26,0.12,0.07
725.44,-0.67,0.01,0.15,0.15,0.13,0.09
740.17,-0.50,0.01,0.38,0.35,0.13,0.14
755.88,-0.34,0.01,0.14,0.14,0.12,0.08
772.15,-0.10,0.02,0.20,0.19,0.10,0.07
788.56,0.12,0.01,0.20,0.20,0.12,0.10
804.70,0.35,0.02,0.20,0.20,0.12,0.10
820.41,0.58,0.01,0.21,0.20,0.13,0.09
836.54,0.72,0.01,0.16,0.16,0.10,0.09
851.69,0.82,0.01,0.15,0.15,0.11,0.11
867.68,0.87,0.00,0.17,0.17,0.09,0.08
883.82,0.88,0.00,0.17,0.17,0.09,0.08
898.69,0.96,0.00,0.20,0.22,0.10,0.08
914.54,1.06,0.01,0.15,0.15,0.08,0.09
930.11,1.15,0.00,0.20,0.20,0.10,0.11
946.24,1.12,-0.01,0.17,0.19,0.08,0.08
961.25,0.99,-0.01,0.22,0.20,0.05,0.05
977.53,0.81,-0.02,0.25,0.24,0.14,0.07
992.25,0.48,-0.03,0.16,0.14,0.19,0.04
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
