x, y, theta, left_speed, right_speed, left_bump, right_bump
14.59,0.09,0.01,0.16,0.16,0.06,0.09
28.48,0.09,-0.00,0.15,0.14,0.06,0.09
42.51,-0.00,-0.01,0.20,0.20,0.06,0.09
57.10,-0.13,-0.01,0.27,0.25,0.06,0.07
71.83,-0.30,-0.01,0.36,0.35,0.08,0.09
86.56,-0.45,-0.01,0.28,0.28,0.05,0.05
101.14,-0.60,-0.02,0.30,0.27,0.06,0.07
118.96,-0.89,-0.02,0.26,0.24,0.05,0.07
132.98,-1.16,-0.02,0.28,0.28,0.05,0.06
148.13,-1.42,-0.02,0.28,0.28,0.05,0.07
163.14,-1.70,-0.02,0.28,0.26,0.03,0.05
179.41,-2.01,-0.02,0.25,0.25,0.04,0.06
193.72,-2.38,-0.03,0.43,0.40,0.04,0.04
208.30,-2.82,-0.03,0.45,0.43,0.05,0.04
222.46,-3.25,-0.03,0.40,0.40,0.03,0.02
237.05,-3.72,-0.03,0.43,0.43,0.04,0.06
251.63,-4.18,-0.03,0.41,0.43,0.05,0.05
265.79,-4.61,-0.03,0.40,0.43,0.04,0.04
280.66,-5.05,-0.03,0.26,0.28,0.04,0.03
297.34,-5.58,-0.03,0.34,0.34,0.05,0.03
312.90,-6.13,-0.04,0.34,0.32,0.03,0.02
329.59,-6.77,-0.04,0.39,0.39,0.03,0.04
345.43,-7.38,-0.04,0.66,0.66,0.02,0.04
360.71,-7.96,-0.04,0.39,0.39,0.03,0.04
376.27,-8.54,-0.04,0.36,0.36,0.04,0.07
391.55,-9.08,-0.04,0.66,0.63,0.03,0.03
408.65,-9.80,-0.05,0.37,0.36,0.03,0.05
423.51,-10.47,-0.05,0.34,0.34,0.02,0.04
438.36,-11.15,-0.05,0.34,0.34,0.03,0.04
452.79,-11.83,-0.05,0.34,0.36,0.04,0.01
467.51,-12.49,-0.05,0.34,0.34,0.04,0.01
482.37,-13.16,-0.05,0.36,0.34,0.05,0.02
499.18,-13.92,-0.05,0.50,0.50,0.06,0.05
515.02,-14.64,-0.05,0.40,0.41,0.03,0.03
531.13,-15.39,-0.05,0.47,0.47,0.03,0.05
545.99,-16.02,-0.04,0.40,0.42,0.02,0.02
561.41,-16.61,-0.04,0.39,0.39,0.03,0.06
576.13,-17.16,-0.04,0.42,0.42,0.02,0.05
591.41,-17.71,-0.04,0.43,0.41,0.02,0.05
606.55,-18.30,-0.04,0.41,0.41,0.01,0.04
621.69,-18.93,-0.05,0.39,0.38,0.03,0.11
636.97,-19.62,-0.05,0.45,0.44,0.03,0.06
652.10,-20.37,-0.05,0.30,0.30,0.01,0.04
666.81,-21.09,-0.05,0.43,0.42,0.05,0.12
681.94,-21.87,-0.05,0.37,0.37,-0.00,0.05
697.21,-22.68,-0.05,0.43,0.43,0.01,0.05
712.20,-23.53,-0.06,0.40,0.40,-0.00,0.03
727.61,-24.43,-0.06,0.41,0.39,-0.00,0.06
742.73,-25.31,-0.06,0.39,0.39,0.01,0.01
757.72,-26.17,-0.05,0.40,0.42,0.01,0.05
772.70,-27.03,-0.06,0.37,0.39,0.01,0.06
787.97,-27.90,-0.05,0.41,0.43,-0.00,0.05
802.96,-28.75,-0.06,0.43,0.43,-0.00,0.05
818.64,-29.66,-0.06,0.38,0.41,-0.00,0.03
834.47,-30.56,-0.05,0.44,0.45,0.01,0.04
849.74,-31.37,-0.05,0.32,0.32,0.01,0.04
865.01,-32.17,-0.05,0.43,0.45,-0.00,0.09
880.29,-32.89,-0.05,0.37,0.37,0.01,0.03
895.42,-33.60,-0.05,0.43,0.42,0.01,0.05
910.83,-34.40,-0.05,0.47,0.45,-0.00,0.04
926.52,-35.25,-0.06,0.36,0.36,0.00,0.05
942.34,-36.20,-0.06,0.47,0.47,0.01,0.06
957.19,-37.14,-0.06,0.40,0.42,0.01,0.01
972.45,-38.07,-0.06,0.39,0.39,0.01,0.06
987.29,-39.04,-0.06,0.33,0.32,0.01,0.04
1002.83,-40.07,-0.07,0.40,0.37,-0.00,0.04
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
