x, y, theta, left_speed, right_speed, left_bump, right_bump
13.61,0.02,0.02,0.12,0.12,0.16,0.10
28.62,0.24,0.01,0.20,0.20,0.18,0.15
42.64,0.35,0.01,0.18,0.19,0.15,0.10
57.80,0.47,0.01,0.25,0.27,0.14,0.10
72.53,0.60,0.01,0.51,0.51,0.15,0.12
87.54,0.74,0.01,0.24,0.24,0.11,0.07
102.82,1.03,0.02,0.33,0.35,0.11,0.09
116.99,1.37,0.02,0.31,0.29,0.12,0.10
132.84,1.72,0.02,0.35,0.35,0.10,0.10
149.11,2.06,0.02,0.23,0.24,0.10,0.11
162.99,2.38,0.02,0.34,0.34,0.10,0.11
176.88,2.65,0.02,0.34,0.34,0.09,0.07
194.41,2.91,0.01,0.36,0.34,0.10,0.08
209.14,3.08,0.01,0.31,0.31,0.10,0.10
224.15,3.26,0.01,0.29,0.28,0.11,0.10
239.30,3.44,0.01,0.26,0.27,0.09,0.10
253.89,3.62,0.01,0.29,0.31,0.08,0.07
269.32,3.82,0.01,0.29,0.29,0.09,0.07
284.47,4.02,0.01,0.29,0.29,0.08,0.07
298.92,4.21,0.02,0.29,0.31,0.10,0.08
313.65,4.48,0.02,0.27,0.29,0.06,0.09
329.50,4.75,0.02,0.36,0.36,0.08,0.08
344.93,4.96,0.02,0.63,0.65,0.05,0.07
360.22,5.20,0.01,0.38,0.36,0.07,0.10
376.21,5.39,0.01,0.36,0.38,0.06,0.10
392.06,5.60,0.02,0.38,0.39,0.07,0.09
408.05,5.84,0.02,0.68,0.68,0.04,0.08
424.32,6.11,0.02,0.38,0.38,0.06,0.09
440.03,6.38,0.02,0.67,0.67,0.07,0.06
455.88,6.63,0.01,0.36,0.38,0.08,0.09
471.74,6.81,0.01,0.67,0.67,0.08,0.07
486.61,6.93,0.00,0.62,0.60,0.01,0.03
500.63,6.96,0.00,0.59,0.59,0.11,0.11
514.52,7.01,0.01,0.33,0.33,0.06,0.08
529.81,7.08,0.00,0.31,0.29,0.05,0.09
543.84,7.13,0.00,0.34,0.34,0.05,0.09
559.42,7.18,-0.00,0.43,0.43,0.07,0.09
573.44,7.20,-0.00,0.40,0.36,0.07,0.13
587.75,7.17,-0.00,0.40,0.39,0.05,0.10
602.06,7.18,-0.00,0.40,0.40,0.05,0.09
616.23,7.16,-0.00,0.34,0.33,0.05,0.11
630.68,7.07,-0.01,0.25,0.25,0.05,0.13
646.53,6.99,-0.00,0.29,0.29,0.01,0.03
662.95,6.93,-0.01,0.31,0.31,0.02,0.11
680.06,6.83,-0.01,0.25,0.25,0.03,0.13
694.09,6.70,-0.01,0.27,0.27,0.03,0.13
707.70,6.54,-0.01,0.29,0.29,0.02,0.12
721.87,6.40,-0.01,0.27,0.27,0.03,0.13
736.03,6.22,-0.02,0.31,0.29,0.01,0.14
750.90,5.98,-0.02,0.29,0.29,0.03,0.12
765.77,5.74,-0.02,0.29,0.27,0.03,0.12
780.22,5.51,-0.01,0.31,0.31,0.03,0.12
794.53,5.27,-0.02,0.27,0.27,0.02,0.11
810.52,4.97,-0.02,0.23,0.23,0.04,0.13
824.54,4.72,-0.02,0.29,0.28,0.03,0.13
840.95,4.36,-0.02,0.22,0.22,0.03,0.14
857.78,3.97,-0.02,0.31,0.31,0.03,0.14
871.53,3.63,-0.03,0.24,0.25,0.04,0.19
885.83,3.21,-0.03,0.34,0.34,0.02,0.15
900.27,2.78,-0.03,0.36,0.34,0.02,0.15
916.96,2.21,-0.04,0.32,0.32,0.03,0.16
931.26,1.71,-0.04,0.28,0.27,0.03,0.18
945.28,1.20,-0.04,0.29,0.29,0.02,0.16
959.44,0.66,-0.04,0.27,0.27,0.03,0.16
974.44,0.12,-0.04,0.32,0.33,0.02,0.11
989.44,-0.47,-0.04,0.29,0.29,0.02,0.14
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
