x, y, theta, left_speed, right_speed, left_bump, right_bump
16.27,0.26,0.02,0.12,0.12,0.15,0.05
32.26,0.56,0.02,0.21,0.22,0.12,0.03
47.69,0.91,0.03,0.18,0.20,0.14,0.02
62.70,1.26,0.02,0.28,0.25,0.11,0.01
80.37,1.54,0.02,0.24,0.23,0.13,0.03
96.36,1.80,0.02,0.30,0.27,0.09,-0.00
112.77,2.03,0.01,0.23,0.23,0.16,0.04
128.90,2.26,0.02,0.25,0.26,0.12,0.02
146.30,2.54,0.02,0.28,0.28,0.15,0.03
161.87,2.80,0.02,0.28,0.28,0.15,0.03
178.00,3.08,0.02,0.28,0.31,0.14,0.01
194.69,3.48,0.03,0.31,0.33,0.12,-0.00
209.41,3.86,0.03,0.35,0.36,0.14,0.01
228.62,4.44,0.03,0.26,0.28,0.13,0.01
246.85,4.99,0.03,0.41,0.43,0.13,0.01
262.14,5.52,0.04,0.26,0.26,0.09,0.00
277.98,6.05,0.03,0.48,0.48,0.11,-0.00
293.83,6.52,0.03,0.46,0.46,0.12,0.01
309.67,6.95,0.03,0.48,0.45,0.05,-0.00
325.66,7.35,0.03,0.48,0.47,0.15,0.04
340.67,7.74,0.03,0.43,0.41,0.09,0.00
356.23,8.16,0.03,0.48,0.45,0.09,0.00
371.66,8.54,0.02,0.46,0.45,0.11,0.02
386.81,8.83,0.02,0.43,0.43,0.09,0.01
402.66,9.11,0.02,0.28,0.28,0.10,0.01
418.51,9.36,0.02,0.48,0.48,0.09,0.03
434.50,9.69,0.02,0.32,0.32,0.09,0.04
449.93,9.99,0.02,0.45,0.45,0.04,0.01
467.32,10.32,0.02,0.26,0.26,0.08,0.05
484.01,10.57,0.01,0.36,0.32,0.08,0.05
502.11,10.73,0.01,0.29,0.27,0.07,0.03
519.08,10.85,0.00,0.31,0.31,0.05,0.01
534.94,10.87,0.00,0.55,0.53,0.08,0.04
551.35,10.88,-0.00,0.28,0.27,0.11,0.04
567.90,10.77,-0.01,0.36,0.37,0.10,0.01
584.88,10.51,-0.02,0.31,0.34,0.08,-0.00
601.85,10.15,-0.02,0.61,0.61,0.10,0.02
618.54,9.72,-0.03,0.23,0.24,0.04,-0.00
633.96,9.14,-0.05,0.35,0.33,0.11,0.00
651.47,8.24,-0.05,0.44,0.42,0.14,-0.01
668.14,7.32,-0.06,0.33,0.31,0.12,0.00
684.94,6.32,-0.06,0.33,0.33,0.12,0.01
703.28,5.17,-0.06,0.26,0.26,0.12,-0.00
720.51,4.14,-0.06,0.38,0.40,0.11,0.00
737.88,3.20,-0.05,0.25,0.26,0.11,0.01
753.43,2.42,-0.05,0.47,0.47,0.12,0.00
768.71,1.67,-0.05,0.43,0.41,0.11,0.00
784.12,0.87,-0.05,0.39,0.39,0.12,0.00
799.39,0.05,-0.05,0.43,0.43,0.12,0.00
814.37,-0.78,-0.05,0.37,0.37,0.08,-0.00
829.36,-1.58,-0.05,0.44,0.44,0.14,0.01
847.57,-2.57,-0.05,0.34,0.34,0.12,0.01
862.56,-3.41,-0.06,0.36,0.34,0.11,0.01
880.49,-4.46,-0.06,0.36,0.34,0.15,0.06
899.67,-5.61,-0.06,0.50,0.50,0.16,0.05
917.04,-6.67,-0.06,0.37,0.36,0.16,0.05
933.84,-7.72,-0.06,0.23,0.23,0.15,0.05
949.52,-8.63,-0.05,0.28,0.28,0.10,0.01
965.78,-9.46,-0.05,0.25,0.27,0.13,0.03
981.75,-10.21,-0.05,0.33,0.34,0.15,0.01
998.56,-11.08,-0.05,0.34,0.34,0.12,0.01
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
