x, y, theta, left_speed, right_speed, left_bump, right_bump
15.57,0.22,0.02,0.12,0.12,0.31,0.20
31.28,0.46,0.02,0.20,0.20,0.29,0.15
46.71,0.68,0.01,0.24,0.21,0.26,0.12
62.14,0.81,0.01,0.25,0.26,0.29,0.16
79.40,1.04,0.02,0.24,0.25,0.25,0.14
96.65,1.33,0.02,0.28,0.28,0.23,0.13
114.60,1.63,0.02,0.24,0.24,0.23,0.10
131.16,1.89,0.02,0.27,0.25,0.28,0.14
148.97,2.20,0.02,0.24,0.24,0.28,0.12
165.94,2.54,0.02,0.38,0.40,0.26,0.10
184.03,2.94,0.03,0.36,0.36,0.28,0.10
200.30,3.37,0.03,0.47,0.47,0.28,0.10
215.73,3.86,0.03,0.43,0.41,0.25,0.07
231.15,4.37,0.04,0.41,0.45,0.23,0.07
246.15,4.96,0.04,0.40,0.42,0.23,0.07
261.57,5.61,0.04,0.39,0.39,0.27,0.08
276.98,6.29,0.05,0.37,0.39,0.21,0.06
293.38,7.10,0.05,0.31,0.32,0.24,0.09
308.93,7.93,0.05,0.29,0.29,0.24,0.07
323.92,8.75,0.06,0.27,0.27,0.23,0.10
342.12,9.81,0.06,0.39,0.41,0.23,0.12
357.67,10.70,0.06,0.29,0.29,0.19,0.08
373.21,11.65,0.06,0.43,0.44,0.20,0.10
388.47,12.65,0.07,0.31,0.33,0.19,0.11
404.15,13.70,0.07,0.30,0.29,0.21,0.13
419.83,14.74,0.07,0.30,0.31,0.16,0.09
437.32,15.91,0.06,0.34,0.36,0.20,0.12
453.14,16.93,0.06,0.45,0.45,0.17,0.10
468.27,17.85,0.06,0.45,0.45,0.18,0.13
483.25,18.75,0.06,0.43,0.43,0.16,0.11
498.79,19.66,0.06,0.45,0.48,0.18,0.12
514.34,20.62,0.06,0.45,0.43,0.16,0.11
532.26,21.66,0.06,0.36,0.34,0.19,0.12
547.11,22.47,0.05,0.36,0.34,0.20,0.14
562.11,23.21,0.05,0.27,0.27,0.18,0.10
576.82,23.91,0.05,0.36,0.36,0.18,0.13
592.66,24.62,0.04,0.37,0.36,0.20,0.12
607.65,25.28,0.05,0.27,0.27,0.16,0.09
625.45,26.08,0.04,0.36,0.35,0.22,0.12
640.59,26.70,0.04,0.35,0.36,0.22,0.11
655.45,27.32,0.04,0.35,0.34,0.21,0.10
670.17,27.91,0.04,0.36,0.34,0.24,0.19
685.45,28.50,0.04,0.35,0.38,0.21,0.10
700.87,29.08,0.04,0.35,0.36,0.23,0.12
720.21,29.83,0.04,0.28,0.26,0.26,0.12
735.21,30.40,0.04,0.30,0.30,0.21,0.08
750.91,31.00,0.04,0.36,0.36,0.20,0.07
766.33,31.56,0.04,0.33,0.34,0.25,0.12
781.05,32.13,0.04,0.34,0.36,0.24,0.11
795.91,32.74,0.04,0.36,0.36,0.24,0.11
810.91,33.37,0.05,0.34,0.36,0.22,0.10
826.18,34.07,0.05,0.24,0.24,0.24,0.10
841.60,34.82,0.05,0.36,0.36,0.20,0.10
856.31,35.54,0.05,0.34,0.36,0.22,0.09
871.16,36.31,0.05,0.36,0.36,0.21,0.10
885.87,37.08,0.05,0.36,0.36,0.22,0.11
901.14,37.94,0.06,0.36,0.34,0.22,0.14
916.69,38.82,0.05,0.37,0.39,0.20,0.10
932.09,39.67,0.05,0.37,0.36,0.21,0.08
947.22,40.50,0.05,0.36,0.36,0.21,0.10
962.63,41.34,0.05,0.37,0.36,0.19,0.07
978.88,42.21,0.05,0.36,0.36,0.19,0.08
995.83,43.16,0.06,0.48,0.48,0.20,0.07
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
