x, y, theta, left_speed, right_speed, left_bump, right_bump
14.03,0.21,0.02,0.19,0.18,0.09,0.11
29.46,0.40,0.01,0.34,0.31,0.11,0.11
45.59,0.42,-0.00,0.28,0.26,0.09,0.08
60.04,0.38,-0.00,0.25,0.25,0.08,0.06
76.59,0.31,-0.01,0.31,0.29,0.05,0.02
90.62,0.22,-0.01,0.31,0.31,0.08,0.04
105.77,0.11,-0.01,0.32,0.34,0.07,0.03
122.61,-0.01,-0.01,0.48,0.49,0.09,0.05
139.86,-0.10,-0.00,0.52,0.52,0.05,0.01
155.58,-0.15,-0.00,0.39,0.39,0.05,0.01
173.25,-0.20,-0.00,0.42,0.43,0.07,0.04
188.12,-0.25,-0.00,0.58,0.58,0.04,0.01
204.68,-0.32,-0.00,0.47,0.47,0.04,0.01
219.13,-0.34,-0.00,0.33,0.34,0.07,0.02
235.68,-0.32,-0.00,0.44,0.45,0.04,0.02
254.48,-0.32,-0.00,0.24,0.24,0.02,-0.00
270.89,-0.34,-0.00,0.49,0.48,0.05,0.02
285.90,-0.39,-0.00,0.34,0.34,0.04,0.01
302.46,-0.39,-0.00,0.56,0.56,0.03,0.02
317.19,-0.37,0.00,0.39,0.41,0.05,0.03
335.85,-0.29,0.01,0.41,0.40,0.04,0.04
355.35,-0.20,0.00,0.25,0.25,0.02,0.01
374.85,-0.19,-0.00,0.38,0.38,0.04,0.03
394.07,-0.19,-0.00,0.48,0.47,0.03,0.05
408.80,-0.22,-0.00,0.34,0.34,0.02,0.02
425.35,-0.24,-0.00,0.41,0.41,0.01,0.02
441.62,-0.22,-0.00,0.48,0.48,0.03,0.06
456.21,-0.22,-0.00,0.34,0.34,0.01,0.04
473.61,-0.24,-0.00,0.32,0.34,0.01,-0.00
489.88,-0.24,-0.00,0.39,0.39,0.01,0.00
503.63,-0.22,-0.00,0.47,0.47,0.03,0.05
518.64,-0.20,0.00,0.20,0.20,0.02,0.01
535.34,-0.19,-0.00,0.34,0.35,0.01,0.00
549.51,-0.19,-0.00,0.53,0.53,0.04,0.01
563.39,-0.23,-0.00,0.58,0.59,0.04,0.01
577.42,-0.23,-0.00,0.58,0.60,0.04,0.01
592.71,-0.21,0.00,0.31,0.31,0.05,0.02
607.87,-0.14,0.00,0.38,0.40,0.03,0.00
622.45,-0.04,0.01,0.28,0.29,0.03,0.01
638.17,0.07,0.00,0.35,0.35,0.04,0.01
651.92,0.10,-0.00,0.30,0.28,0.04,0.02
667.35,0.06,-0.00,0.28,0.28,0.07,0.04
683.34,-0.00,-0.00,0.25,0.25,0.04,0.01
699.05,-0.05,-0.00,0.17,0.17,0.06,0.02
714.34,-0.11,-0.01,0.27,0.27,0.04,0.03
730.06,-0.22,-0.01,0.20,0.21,0.05,0.01
744.36,-0.31,-0.01,0.22,0.22,0.03,0.00
759.80,-0.41,-0.01,0.36,0.36,0.04,0.02
774.39,-0.51,-0.01,0.21,0.21,0.05,0.02
789.26,-0.60,-0.01,0.17,0.17,0.01,-0.02
804.83,-0.73,-0.01,0.13,0.13,0.04,0.03
821.52,-0.89,-0.01,0.38,0.36,0.04,0.03
837.09,-1.11,-0.02,0.33,0.33,0.03,0.01
851.54,-1.39,-0.03,0.20,0.20,0.04,0.01
865.84,-1.76,-0.03,0.20,0.20,0.05,0.01
879.45,-2.12,-0.02,0.31,0.33,0.05,0.01
893.75,-2.45,-0.02,0.17,0.17,0.05,0.02
909.32,-2.79,-0.02,0.21,0.22,0.05,0.04
923.07,-3.02,-0.01,0.15,0.16,0.02,0.03
938.92,-3.28,-0.02,0.28,0.26,0.04,0.05
952.66,-3.54,-0.02,0.18,0.17,0.03,0.05
968.09,-3.85,-0.02,0.14,0.14,0.03,0.05
982.26,-4.18,-0.03,0.14,0.14,0.03,0.05
997.12,-4.57,-0.02,0.31,0.33,0.04,0.05
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
