x, y, theta, left_speed, right_speed, left_bump, right_bump
15.15,0.09,0.01,0.09,0.09,0.20,0.14
29.04,0.24,0.01,0.20,0.19,0.18,0.13
43.63,0.37,0.01,0.36,0.34,0.12,0.10
59.34,0.53,0.01,0.39,0.39,0.09,0.08
74.21,0.61,-0.00,0.35,0.34,0.11,0.10
88.80,0.54,-0.01,0.18,0.17,0.10,0.08
103.53,0.40,-0.01,0.36,0.35,0.12,0.10
119.38,0.18,-0.02,0.34,0.32,0.12,0.08
134.67,-0.10,-0.02,0.31,0.31,0.06,0.07
150.80,-0.46,-0.02,0.34,0.34,0.15,0.09
168.47,-0.92,-0.03,0.35,0.34,0.12,0.10
182.35,-1.29,-0.03,0.40,0.40,0.12,0.11
197.50,-1.68,-0.03,0.42,0.45,0.06,0.06
215.17,-2.10,-0.02,0.35,0.35,0.08,0.13
232.42,-2.43,-0.02,0.45,0.45,0.08,0.11
251.22,-2.73,-0.02,0.63,0.63,0.07,0.17
266.93,-3.00,-0.02,0.56,0.56,0.01,0.08
281.38,-3.24,-0.01,0.23,0.24,0.00,0.12
299.89,-3.50,-0.01,0.46,0.48,0.03,0.14
319.25,-3.75,-0.01,0.34,0.35,0.01,0.09
338.61,-4.00,-0.01,0.34,0.34,0.02,0.12
353.06,-4.17,-0.01,0.57,0.57,0.01,0.08
369.33,-4.36,-0.01,0.47,0.45,0.00,0.07
387.43,-4.52,-0.01,0.34,0.36,0.01,0.09
405.66,-4.57,0.00,0.56,0.58,0.01,0.08
419.69,-4.55,0.01,0.33,0.34,0.02,0.10
437.37,-4.37,0.01,0.29,0.30,0.02,0.08
453.36,-4.15,0.01,0.66,0.66,0.03,0.11
470.75,-3.88,0.02,0.59,0.59,0.01,0.04
487.30,-3.53,0.03,0.35,0.36,0.03,0.05
502.87,-3.13,0.03,0.38,0.38,0.02,0.07
519.42,-2.62,0.04,0.20,0.22,0.03,0.08
536.38,-2.02,0.03,0.33,0.32,0.02,0.12
551.95,-1.54,0.03,0.22,0.21,0.01,0.03
568.21,-1.12,0.02,0.42,0.39,0.03,0.13
583.64,-0.82,0.01,0.41,0.38,0.01,0.08
598.93,-0.69,0.01,0.53,0.52,0.02,0.09
615.07,-0.56,0.01,0.34,0.32,0.02,0.07
629.09,-0.44,0.01,0.37,0.37,0.02,0.08
642.98,-0.36,0.00,0.25,0.23,0.02,0.16
657.15,-0.42,-0.01,0.38,0.36,0.02,0.13
672.58,-0.61,-0.01,0.29,0.29,0.02,0.08
689.70,-0.73,-0.00,0.15,0.16,0.03,0.11
703.59,-0.74,0.00,0.35,0.35,0.04,0.13
718.60,-0.82,-0.01,0.34,0.34,0.07,0.11
734.87,-0.94,-0.00,0.28,0.28,0.06,0.10
751.14,-1.04,-0.00,0.23,0.22,0.08,0.11
766.15,-1.09,0.00,0.22,0.24,0.07,0.14
781.30,-1.05,0.01,0.26,0.26,0.08,0.17
796.46,-0.94,0.01,0.30,0.30,0.06,0.19
810.48,-0.84,0.01,0.21,0.20,0.06,0.17
825.07,-0.79,0.00,0.12,0.12,0.05,0.11
839.66,-0.72,0.01,0.12,0.12,0.06,0.15
853.55,-0.60,0.01,0.18,0.18,0.08,0.19
868.28,-0.52,0.00,0.20,0.20,0.09,0.17
884.41,-0.50,0.00,0.18,0.19,0.08,0.18
899.57,-0.38,0.01,0.26,0.24,0.06,0.16
913.59,-0.25,0.01,0.21,0.24,0.09,0.20
928.04,-0.07,0.01,0.23,0.23,0.06,0.17
942.63,0.13,0.01,0.14,0.14,0.05,0.22
957.22,0.31,0.01,0.19,0.20,0.04,0.22
970.83,0.53,0.02,0.20,0.20,0.04,0.21
985.84,0.71,0.01,0.15,0.15,0.02,0.18
999.58,0.84,0.01,0.32,0.32,0.06,0.15
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
