x, y, theta, left_speed, right_speed, left_bump, right_bump
16.83,0.07,0.00,0.20,0.20,0.23,0.12
31.70,-0.02,-0.01,0.32,0.28,0.23,0.09
49.94,-0.08,0.00,0.30,0.32,0.24,0.06
68.18,0.01,0.01,0.45,0.45,0.24,0.05
82.91,0.08,0.00,0.57,0.57,0.22,0.02
98.90,0.18,0.01,0.61,0.63,0.26,0.05
117.70,0.29,0.00,0.30,0.30,0.21,0.03
136.36,0.39,0.01,0.42,0.41,0.26,0.07
156.98,0.55,0.02,0.88,0.91,0.25,0.08
174.93,0.89,0.02,0.59,0.62,0.17,0.01
192.46,1.32,0.03,0.93,0.95,0.19,0.02
209.57,1.76,0.03,0.60,0.58,0.10,-0.00
226.82,2.18,0.02,0.68,0.68,0.16,0.00
246.46,2.56,0.02,1.19,1.14,0.09,-0.01
264.14,2.81,0.02,0.65,0.66,0.13,-0.00
279.57,3.04,0.01,0.89,0.84,0.09,0.00
302.85,3.23,0.00,0.93,0.89,0.09,-0.01
318.57,3.24,-0.00,0.86,0.83,0.11,0.05
342.13,3.09,-0.01,0.40,0.39,0.09,0.01
362.75,2.89,-0.01,1.25,1.22,0.06,0.00
378.47,2.69,-0.01,0.85,0.85,0.07,0.02
402.03,2.38,-0.01,0.38,0.38,0.06,0.02
418.58,2.15,-0.01,0.93,0.92,0.07,0.06
442.15,1.84,-0.01,0.55,0.55,0.07,0.05
462.91,1.62,-0.01,0.69,0.71,0.05,0.09
478.91,1.51,-0.01,0.54,0.54,0.04,0.12
501.49,1.34,-0.01,0.67,0.67,0.01,0.11
521.55,1.10,-0.01,0.76,0.74,0.02,0.10
536.56,0.89,-0.02,1.32,1.30,0.01,0.08
558.30,0.49,-0.02,0.37,0.36,0.01,0.10
575.83,0.12,-0.03,0.71,0.69,0.01,0.09
596.03,-0.46,-0.03,0.49,0.48,-0.00,0.05
616.78,-1.07,-0.03,0.60,0.60,0.01,0.07
631.79,-1.50,-0.03,0.50,0.52,0.01,-0.01
647.91,-1.87,-0.02,0.44,0.47,0.01,0.03
666.43,-2.15,-0.01,0.52,0.53,0.01,0.17
685.65,-2.34,-0.01,0.37,0.37,0.00,0.03
700.80,-2.43,-0.01,0.58,0.58,0.01,0.09
719.60,-2.49,0.00,0.43,0.45,0.03,0.11
737.84,-2.48,0.00,0.42,0.42,0.01,0.13
753.27,-2.44,0.01,0.67,0.68,0.00,0.08
768.98,-2.34,0.01,0.56,0.56,0.03,0.12
788.06,-2.25,0.00,0.67,0.65,0.01,0.11
803.49,-2.23,0.00,0.28,0.29,0.00,0.07
820.75,-2.20,0.00,0.28,0.28,0.01,0.18
835.76,-2.16,0.01,0.54,0.55,0.01,0.08
851.61,-2.00,0.02,0.22,0.25,-0.00,0.02
867.18,-1.75,0.02,0.26,0.27,0.01,0.14
883.59,-1.46,0.01,0.15,0.14,0.01,0.13
898.60,-1.40,0.00,0.29,0.29,0.02,0.18
915.86,-1.49,-0.00,0.30,0.31,0.01,0.13
931.29,-1.51,0.00,0.21,0.21,0.01,0.11
947.84,-1.39,0.01,0.16,0.17,0.03,0.13
963.83,-1.17,0.02,0.33,0.33,0.06,0.09
979.40,-0.90,0.02,0.16,0.15,0.05,0.06
994.83,-0.57,0.03,0.18,0.18,0.07,0.07
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
