x, y, theta, left_speed, right_speed, left_bump, right_bump
16.13,0.02,-0.00,0.16,0.15,0.37,0.17
32.13,-0.12,-0.02,0.22,0.20,0.32,0.15
47.13,-0.36,-0.01,0.45,0.48,0.34,0.15
64.95,-0.55,-0.01,0.41,0.41,0.28,0.10
83.19,-0.72,-0.01,0.36,0.37,0.30,0.13
102.55,-0.85,-0.00,0.49,0.51,0.27,0.11
121.63,-0.91,-0.00,0.52,0.52,0.25,0.08
139.72,-1.01,-0.01,0.49,0.49,0.31,0.12
155.43,-1.09,-0.01,0.55,0.55,0.24,0.06
175.07,-1.25,-0.01,0.57,0.58,0.24,0.04
193.59,-1.39,-0.01,1.18,1.17,0.18,0.05
211.83,-1.48,-0.01,0.73,0.75,0.18,0.08
230.07,-1.54,-0.00,0.64,0.66,0.10,0.03
248.02,-1.54,-0.00,0.29,0.30,0.33,0.10
264.16,-1.49,0.00,0.96,0.99,0.23,0.05
279.87,-1.41,0.01,0.55,0.55,0.27,0.06
296.00,-1.26,0.01,0.60,0.63,0.26,0.08
312.83,-0.97,0.03,0.98,1.03,0.18,0.03
329.94,-0.55,0.03,0.66,0.66,0.21,0.06
347.89,-0.09,0.03,0.36,0.38,0.19,0.02
366.83,0.40,0.02,0.76,0.75,0.09,0.05
385.48,0.88,0.03,0.70,0.71,0.13,0.04
404.13,1.40,0.03,0.45,0.44,0.14,0.05
422.36,1.91,0.03,0.56,0.56,0.16,0.08
440.03,2.45,0.03,0.44,0.44,0.09,0.05
457.98,2.93,0.03,0.50,0.48,0.12,0.05
472.70,3.32,0.03,0.48,0.48,0.09,0.03
488.69,3.69,0.01,0.49,0.48,0.03,-0.02
507.35,3.88,0.00,0.48,0.45,0.21,0.10
523.48,3.88,-0.01,0.46,0.44,0.08,0.02
539.19,3.73,-0.01,1.05,1.00,0.19,0.09
555.61,3.48,-0.02,0.41,0.41,0.10,0.03
575.94,3.05,-0.03,0.44,0.42,0.12,0.03
596.42,2.48,-0.03,0.40,0.39,0.22,0.10
611.99,2.08,-0.03,0.48,0.46,0.12,0.03
627.27,1.65,-0.03,0.58,0.58,0.15,0.03
643.26,1.24,-0.03,0.62,0.63,0.18,0.08
659.11,0.84,-0.02,0.45,0.45,0.16,0.03
675.52,0.47,-0.02,0.41,0.42,0.16,0.04
694.17,0.11,-0.02,0.69,0.71,0.19,0.09
709.60,-0.12,-0.01,0.54,0.56,0.21,0.15
728.96,-0.26,-0.00,0.43,0.45,0.11,0.04
745.51,-0.31,-0.00,0.40,0.40,0.13,0.05
762.07,-0.36,-0.00,0.28,0.30,0.23,0.10
778.06,-0.41,-0.00,0.68,0.68,0.17,0.04
792.79,-0.44,-0.00,0.37,0.38,0.18,0.05
811.03,-0.38,0.01,0.25,0.27,0.22,0.08
827.86,-0.20,0.01,0.38,0.40,0.23,0.10
844.97,0.06,0.02,0.31,0.31,0.20,0.08
862.09,0.35,0.01,0.34,0.33,0.19,0.04
879.62,0.60,0.02,0.29,0.29,0.19,0.05
896.03,0.84,0.01,0.38,0.38,0.20,0.05
913.15,1.02,0.01,0.29,0.29,0.24,0.06
928.86,1.14,0.01,0.37,0.39,0.21,0.06
946.12,1.22,0.00,0.29,0.28,0.24,0.08
961.83,1.24,0.00,0.16,0.16,0.21,0.03
976.84,1.27,-0.00,0.30,0.31,0.25,0.04
991.57,1.24,-0.00,0.57,0.55,0.19,0.04
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
