x, y, theta, left_speed, right_speed, left_bump, right_bump
15.85,-0.01,-0.00,0.12,0.10,0.24,0.12
34.23,-0.09,0.01,0.29,0.32,0.15,0.03
49.10,0.04,0.01,0.32,0.32,0.14,0.03
64.53,0.14,0.01,0.53,0.53,0.19,0.06
83.33,0.26,0.01,0.55,0.53,0.13,0.01
99.88,0.37,0.01,0.27,0.27,0.14,0.05
115.03,0.46,0.01,0.27,0.28,0.18,0.05
130.19,0.56,0.01,0.60,0.58,0.14,0.02
147.58,0.67,0.00,0.63,0.61,0.19,0.05
167.08,0.69,0.00,0.42,0.42,0.19,0.07
188.55,0.76,0.01,0.60,0.60,0.17,0.05
203.70,0.86,0.01,0.54,0.54,0.06,0.00
222.21,0.99,0.01,0.54,0.54,0.13,0.02
240.59,1.17,0.02,0.71,0.74,0.12,0.01
260.09,1.46,0.01,0.47,0.45,0.16,0.06
277.90,1.65,0.01,0.63,0.60,0.12,0.02
299.09,1.84,0.01,0.47,0.47,0.11,0.01
322.80,1.99,0.00,0.62,0.63,0.15,0.06
340.89,2.05,0.00,0.68,0.68,0.09,0.01
356.46,2.03,-0.00,0.89,0.86,0.10,0.05
378.07,1.96,-0.00,0.93,0.92,0.05,-0.00
397.99,1.89,-0.00,0.58,0.60,0.04,-0.00
420.30,1.85,0.00,0.61,0.60,0.03,-0.01
436.57,1.85,0.00,0.66,0.65,0.07,0.03
454.11,1.83,-0.00,0.93,0.95,0.07,0.02
469.82,1.78,-0.00,0.57,0.58,0.08,0.05
489.88,1.73,0.00,0.57,0.57,0.06,0.03
508.12,1.77,0.01,1.16,1.18,0.05,0.02
525.09,1.86,0.00,0.69,0.68,0.01,-0.01
544.17,1.87,-0.00,0.40,0.38,-0.02,-0.02
565.21,1.73,-0.01,0.41,0.42,0.02,-0.02
584.43,1.54,-0.01,0.43,0.43,0.08,0.05
602.25,1.39,-0.01,0.35,0.35,0.05,0.01
619.78,1.27,-0.01,0.22,0.23,0.08,0.04
638.30,1.13,-0.01,0.39,0.39,0.12,0.06
654.15,1.01,-0.01,0.55,0.55,0.04,-0.02
672.95,0.83,-0.01,0.44,0.44,0.12,0.06
689.64,0.71,-0.01,0.34,0.32,0.09,0.03
706.06,0.65,-0.00,0.30,0.30,0.10,0.04
722.47,0.62,-0.00,0.36,0.37,0.09,0.04
739.59,0.65,0.01,0.36,0.37,0.09,0.04
755.02,0.75,0.01,0.36,0.36,0.08,0.03
769.89,0.84,0.01,0.36,0.36,0.08,0.05
786.86,0.96,0.01,0.34,0.36,0.07,0.02
803.70,1.15,0.01,0.25,0.25,0.05,0.04
820.25,1.33,0.01,0.62,0.64,0.09,0.07
837.22,1.48,0.01,0.19,0.18,0.07,0.05
855.74,1.54,-0.00,0.18,0.18,0.09,0.09
871.17,1.52,-0.01,0.25,0.24,0.09,0.11
888.01,1.41,-0.01,0.29,0.27,0.05,0.07
906.53,1.27,-0.01,0.45,0.43,0.05,0.08
924.90,1.11,-0.01,0.27,0.27,0.03,0.07
939.63,0.93,-0.02,0.25,0.24,0.04,0.09
954.78,0.64,-0.02,0.17,0.17,0.04,0.10
970.07,0.30,-0.02,0.24,0.24,0.01,0.08
986.20,-0.07,-0.02,0.17,0.16,0.02,0.08
1000.93,-0.36,-0.02,0.11,0.11,0.06,0.09
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
