x, y, theta, left_speed, right_speed, left_bump, right_bump
14.73,0.07,0.01,0.22,0.22,0.42,0.19
31.28,0.22,0.01,0.31,0.30,0.37,0.15
47.14,0.31,0.00,0.26,0.25,0.26,0.10
63.69,0.30,0.00,0.45,0.44,0.29,0.10
80.10,0.26,-0.00,0.47,0.46,0.28,0.10
98.62,0.19,-0.00,0.37,0.36,0.25,0.07
114.33,0.13,-0.00,0.57,0.57,0.30,0.13
133.27,0.12,0.00,0.46,0.47,0.21,0.08
154.46,0.14,0.00,0.46,0.47,0.22,0.10
172.97,0.17,-0.00,0.41,0.42,0.23,0.15
190.65,0.09,-0.01,0.67,0.64,0.19,0.09
210.29,-0.12,-0.01,0.32,0.31,0.15,0.08
227.40,-0.31,-0.01,0.91,0.91,0.26,0.14
242.55,-0.43,-0.01,0.57,0.58,0.17,0.09
259.67,-0.56,-0.00,0.58,0.61,0.12,0.05
275.94,-0.58,0.00,0.55,0.56,0.20,0.12
292.36,-0.53,0.01,0.58,0.61,0.12,0.06
312.14,-0.35,0.02,0.55,0.59,0.16,0.09
334.44,0.04,0.02,0.59,0.59,0.12,0.07
352.11,0.38,0.02,0.59,0.61,0.17,0.13
370.21,0.72,0.02,0.71,0.68,0.03,0.01
388.30,0.97,0.01,0.70,0.68,0.10,0.07
406.82,1.16,0.01,0.31,0.31,0.10,0.09
425.05,1.45,0.02,0.41,0.42,0.12,0.10
442.45,1.75,0.01,0.51,0.50,0.12,0.10
460.68,1.99,0.01,0.50,0.48,0.12,0.10
477.52,2.17,0.01,0.48,0.48,0.02,0.03
493.79,2.24,-0.00,0.66,0.64,0.09,0.11
510.06,2.24,-0.00,0.69,0.67,0.06,0.09
524.93,2.21,-0.01,0.52,0.50,0.11,0.12
539.80,2.09,-0.01,0.60,0.56,0.13,0.14
554.81,1.79,-0.03,0.56,0.53,0.10,0.08
571.36,1.30,-0.04,0.40,0.38,0.14,0.11
589.58,0.65,-0.04,0.51,0.52,0.09,0.07
608.79,0.01,-0.03,0.66,0.68,0.16,0.09
624.92,-0.50,-0.03,0.39,0.41,0.12,0.06
644.55,-1.03,-0.02,0.66,0.68,0.13,0.08
662.78,-1.44,-0.02,0.39,0.40,0.13,0.07
681.16,-1.81,-0.01,0.38,0.39,0.17,0.10
697.15,-2.02,-0.01,0.32,0.34,0.13,0.08
714.13,-2.09,0.00,0.39,0.42,0.13,0.08
730.68,-1.97,0.02,0.29,0.29,0.17,0.13
746.67,-1.68,0.02,0.52,0.51,0.14,0.12
763.50,-1.42,0.02,0.33,0.35,0.17,0.15
780.76,-1.16,0.01,0.34,0.32,0.08,0.10
797.17,-0.95,0.01,0.27,0.28,0.17,0.20
812.88,-0.80,0.01,0.16,0.16,0.12,0.13
827.89,-0.64,0.01,0.27,0.27,0.10,0.14
845.42,-0.40,0.01,0.42,0.40,0.09,0.17
860.29,-0.32,-0.00,0.16,0.15,0.07,0.15
875.44,-0.45,-0.02,0.37,0.35,0.03,0.12
893.12,-0.74,-0.02,0.24,0.24,0.02,0.12
910.93,-1.05,-0.02,0.26,0.26,0.03,0.14
926.64,-1.36,-0.02,0.23,0.25,0.02,0.11
942.21,-1.62,-0.02,0.26,0.26,0.01,0.13
957.64,-1.93,-0.02,0.47,0.44,0.03,0.12
974.19,-2.37,-0.03,0.22,0.21,0.06,0.10
989.19,-2.79,-0.03,0.17,0.18,0.14,0.08
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
