pwm, left_speed, right_speed
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.09,0.11
10,0.11,0.11
10,0.11,0.11
10,0.11,0.12
10,0.10,0.10
10,0.11,0.11
20,0.11,0.11
20,0.11,0.13
20,0.11,0.09
20,0.11,0.14
20,0.11,0.11
20,0.11,0.11
20,0.09,0.11
20,0.11,0.11
20,0.11,0.11
20,0.11,0.11
30,0.12,0.11
30,0.17,0.14
30,0.14,0.17
30,0.17,0.17
30,0.13,0.15
30,0.17,0.17
30,0.17,0.17
30,0.14,0.14
30,0.14,0.14
30,0.17,0.17
40,0.20,0.20
40,0.22,0.22
40,0.22,0.20
40,0.22,0.22
40,0.22,0.22
40,0.20,0.22
40,0.22,0.20
40,0.22,0.22
40,0.22,0.22
40,0.22,0.22
50,0.26,0.25
50,0.28,0.28
50,0.28,0.28
50,0.26,0.26
50,0.28,0.28
50,0.28,0.28
50,0.28,0.28
50,0.26,0.26
50,0.28,0.28
50,0.28,0.28
60,0.33,0.33
60,0.31,0.31
60,0.36,0.34
60,0.36,0.36
60,0.34,0.34
60,0.34,0.36
60,0.34,0.34
60,0.34,0.34
60,0.33,0.36
60,0.29,0.31
70,0.40,0.42
70,0.40,0.40
70,0.39,0.42
70,0.37,0.37
70,0.42,0.42
70,0.42,0.40
70,0.42,0.39
70,0.37,0.39
70,0.42,0.40
70,0.40,0.40
80,0.45,0.48
80,0.43,0.43
80,0.48,0.48
80,0.45,0.48
80,0.47,0.47
80,0.43,0.45
80,0.48,0.45
80,0.48,0.48
80,0.47,0.47
80,0.42,0.43
90,0.40,0.40
90,0.39,0.42
90,0.37,0.37
90,0.39,0.42
90,0.39,0.39
90,0.42,0.39
90,0.39,0.42
90,0.37,0.37
90,0.40,0.42
90,0.40,0.42
100,0.40,0.40
100,0.45,0.42
100,0.42,0.45
100,0.44,0.42
100,0.40,0.42
100,0.45,0.45
100,0.45,0.45
100,0.44,0.45
100,0.40,0.40
100,0.45,0.45
110,0.48,0.48
110,0.48,0.48
110,0.43,0.43
110,0.48,0.48
110,0.48,0.48
110,0.47,0.47
110,0.43,0.45
110,0.50,0.48
110,0.48,0.48
110,0.47,0.47
120,0.48,0.46
120,0.51,0.53
120,0.50,0.50
120,0.45,0.48
120,0.51,0.51
120,0.53,0.53
120,0.51,0.51
120,0.51,0.51
120,0.46,0.48
120,0.53,0.53
130,0.56,0.54
130,0.56,0.56
130,0.51,0.51
130,0.56,0.59
130,0.56,0.56
130,0.51,0.51
130,0.56,0.56
130,0.56,0.56
130,0.56,0.56
130,0.51,0.51
140,0.56,0.56
140,0.56,0.56
140,0.56,0.56
140,0.51,0.51
140,0.56,0.56
140,0.56,0.56
140,0.56,0.56
140,0.51,0.51
140,0.56,0.59
140,0.56,0.56
150,0.64,0.64
150,0.59,0.59
150,0.65,0.65
150,0.65,0.67
150,0.59,0.59
150,0.65,0.65
150,0.65,0.65
150,0.70,0.70
150,0.64,0.64
150,0.59,0.59
160,0.70,0.70
160,0.70,0.70
160,0.63,0.65
160,0.64,0.64
160,0.70,0.70
160,0.78,0.78
160,0.65,0.63
160,0.70,0.70
160,0.70,0.73
160,0.78,0.78
170,0.68,0.68
170,0.76,0.76
170,0.78,0.78
170,0.75,0.78
170,0.68,0.71
170,0.76,0.76
170,0.77,0.79
170,0.77,0.77
170,0.79,0.76
170,0.76,0.79
180,0.90,0.90
180,1.19,1.16
180,1.11,1.08
180,1.21,1.18
180,1.20,1.17
180,1.09,1.12
180,1.11,1.11
180,1.13,1.10
180,1.11,1.10
180,1.09,1.09
