pwm, left_speed, right_speed
10,0.09,0.11
10,0.11,0.09
10,0.11,0.11
10,0.09,0.09
10,0.09,0.11
10,0.11,0.09
10,0.11,0.11
10,0.09,0.11
10,0.11,0.09
20,0.09,0.09
20,0.11,0.08
20,0.11,0.09
20,0.09,0.09
20,0.09,0.09
20,0.11,0.08
20,0.09,0.09
20,0.09,0.09
20,0.11,0.08
20,0.11,0.11
30,0.11,0.11
30,0.17,0.14
30,0.14,0.14
30,0.14,0.17
30,0.13,0.13
30,0.17,0.14
30,0.17,0.14
30,0.14,0.14
30,0.14,0.14
30,0.17,0.14
40,0.17,0.17
40,0.22,0.20
40,0.17,0.20
40,0.22,0.22
40,0.22,0.22
40,0.20,0.20
40,0.20,0.20
40,0.20,0.20
40,0.20,0.20
40,0.22,0.20
50,0.25,0.23
50,0.31,0.28
50,0.28,0.28
50,0.26,0.26
50,0.28,0.28
50,0.28,0.31
50,0.28,0.28
50,0.26,0.26
50,0.28,0.28
50,0.28,0.28
60,0.33,0.31
60,0.29,0.29
60,0.34,0.34
60,0.31,0.34
60,0.31,0.34
60,0.28,0.28
60,0.34,0.33
60,0.31,0.34
60,0.33,0.31
60,0.29,0.31
70,0.37,0.39
70,0.39,0.37
70,0.39,0.39
70,0.36,0.34
70,0.39,0.39
70,0.39,0.39
70,0.37,0.37
70,0.37,0.39
70,0.39,0.39
70,0.39,0.39
80,0.45,0.45
80,0.41,0.41
80,0.45,0.47
80,0.45,0.45
80,0.44,0.45
80,0.42,0.40
80,0.45,0.45
80,0.44,0.45
80,0.40,0.42
80,0.45,0.47
90,0.51,0.53
90,0.50,0.52
90,0.48,0.48
90,0.51,0.51
90,0.51,0.51
90,0.51,0.53
90,0.48,0.46
90,0.51,0.53
90,0.51,0.51
90,0.52,0.52
100,0.51,0.51
100,0.56,0.56
100,0.56,0.56
100,0.56,0.56
100,0.51,0.51
100,0.56,0.59
100,0.56,0.56
100,0.56,0.56
100,0.51,0.51
100,0.56,0.56
110,0.62,0.62
110,0.64,0.64
110,0.59,0.57
110,0.65,0.65
110,0.65,0.65
110,0.64,0.64
110,0.57,0.59
110,0.65,0.65
110,0.64,0.64
110,0.59,0.59
120,0.70,0.70
120,0.70,0.70
120,0.70,0.70
120,0.70,0.70
120,0.64,0.64
120,0.70,0.70
120,0.67,0.69
120,0.63,0.63
120,0.70,0.70
120,0.68,0.68
130,0.75,0.75
130,0.76,0.78
130,0.76,0.76
130,0.76,0.76
130,0.77,0.75
130,0.68,0.68
130,0.76,0.76
130,0.76,0.78
130,0.75,0.75
130,0.71,0.71
140,0.82,0.84
140,0.88,0.91
140,0.81,0.84
140,0.74,0.77
140,0.82,0.85
140,0.91,0.92
140,0.76,0.79
140,0.82,0.85
140,0.92,0.93
140,0.88,0.93
150,0.87,0.84
150,0.98,0.95
150,0.90,0.90
150,0.96,0.94
150,0.91,0.88
150,0.90,0.90
150,0.97,0.95
150,0.97,0.94
150,0.90,0.87
150,0.87,0.87
160,0.99,0.96
160,1.03,1.00
160,0.96,0.94
160,0.87,0.85
160,0.95,0.92
160,1.03,1.00
160,0.95,0.93
160,0.96,0.93
160,1.03,1.00
160,1.04,0.99
170,1.01,0.99
170,1.12,1.09
170,1.11,1.08
170,1.02,0.99
170,1.02,1.02
170,1.11,1.08
170,1.12,1.09
170,1.10,1.07
170,1.01,0.98
170,1.02,1.02
180,1.07,1.04
180,1.16,1.13
180,1.09,1.07
180,1.20,1.18
180,1.20,1.15
180,1.08,1.03
180,1.08,1.08
180,1.20,1.15
180,1.17,1.17
180,1.10,1.07
