pwm, left_speed, right_speed
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.10,0.10
10,0.11,0.11
20,0.11,0.11
20,0.11,0.11
20,0.11,0.09
20,0.11,0.11
20,0.11,0.09
20,0.11,0.11
20,0.11,0.09
20,0.11,0.11
20,0.11,0.11
20,0.11,0.11
30,0.14,0.12
30,0.17,0.17
30,0.14,0.17
30,0.17,0.17
30,0.13,0.13
30,0.14,0.17
30,0.17,0.14
30,0.17,0.14
30,0.14,0.14
30,0.14,0.14
40,0.20,0.17
40,0.22,0.22
40,0.20,0.20
40,0.22,0.22
40,0.22,0.22
40,0.20,0.20
40,0.22,0.22
40,0.22,0.22
40,0.22,0.22
40,0.22,0.22
50,0.25,0.23
50,0.28,0.28
50,0.28,0.28
50,0.26,0.26
50,0.28,0.28
50,0.28,0.28
50,0.30,0.30
50,0.25,0.28
50,0.31,0.28
50,0.28,0.28
60,0.33,0.31
60,0.31,0.31
60,0.36,0.36
60,0.36,0.34
60,0.34,0.34
60,0.33,0.31
60,0.36,0.36
60,0.34,0.34
60,0.34,0.33
60,0.31,0.31
70,0.39,0.39
70,0.40,0.40
70,0.39,0.39
70,0.37,0.37
70,0.42,0.42
70,0.42,0.42
70,0.39,0.37
70,0.42,0.42
70,0.42,0.40
70,0.42,0.40
80,0.47,0.47
80,0.43,0.45
80,0.47,0.47
80,0.47,0.47
80,0.43,0.43
80,0.48,0.48
80,0.48,0.48
80,0.47,0.47
80,0.43,0.45
80,0.48,0.47
90,0.56,0.54
90,0.56,0.54
90,0.56,0.54
90,0.51,0.48
90,0.53,0.54
90,0.58,0.53
90,0.51,0.49
90,0.56,0.53
90,0.56,0.53
90,0.56,0.53
100,0.54,0.54
100,0.61,0.59
100,0.59,0.61
100,0.59,0.59
100,0.54,0.54
100,0.61,0.61
100,0.62,0.61
100,0.58,0.61
100,0.54,0.54
100,0.59,0.59
110,0.67,0.67
110,0.67,0.66
110,0.62,0.60
110,0.65,0.67
110,0.67,0.67
110,0.67,0.67
110,0.60,0.60
110,0.68,0.68
110,0.65,0.67
110,0.72,0.72
120,0.73,0.73
120,0.74,0.74
120,0.75,0.75
120,0.72,0.75
120,0.74,0.72
120,0.73,0.75
120,0.72,0.72
120,0.66,0.68
120,0.81,0.81
120,0.75,0.75
130,0.81,0.78
130,0.74,0.75
130,0.87,0.87
130,0.82,0.82
130,0.81,0.81
130,0.82,0.80
130,0.87,0.87
130,0.82,0.82
130,0.89,0.89
130,0.79,0.81
140,0.90,0.87
140,0.95,0.95
140,0.86,0.86
140,0.77,0.79
140,0.87,0.87
140,0.87,0.87
140,0.90,0.88
140,0.87,0.87
140,0.90,0.88
140,0.90,0.87
150,0.93,0.93
150,0.93,0.93
150,1.00,1.00
150,1.01,1.04
150,0.99,1.02
150,0.93,0.93
150,1.01,1.04
150,1.00,1.03
150,0.95,0.93
150,0.93,0.93
160,1.01,0.98
160,1.01,0.98
160,1.01,0.98
160,1.02,0.99
160,1.09,1.09
160,1.09,1.06
160,1.02,0.99
160,1.09,1.09
160,1.02,0.99
160,1.00,1.00
170,0.98,0.98
170,1.14,1.16
170,1.14,1.16
170,1.06,1.06
170,1.07,1.05
170,1.18,1.18
170,1.05,1.08
170,1.15,1.18
170,1.07,1.07
170,1.15,1.18
180,1.23,1.20
180,1.14,1.11
180,1.13,1.11
180,1.23,1.21
180,1.23,1.23
180,1.13,1.11
180,1.13,1.13
180,1.26,1.18
180,1.22,1.20
180,1.14,1.13
