pwm, left_speed, right_speed
10,0.14,0.11
10,0.11,0.11
10,0.13,0.11
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.11,0.11
10,0.12,0.10
10,0.11,0.11
20,0.11,0.11
20,0.11,0.11
20,0.11,0.11
20,0.11,0.14
20,0.11,0.11
20,0.11,0.11
20,0.11,0.11
20,0.12,0.11
20,0.12,0.14
20,0.14,0.13
30,0.14,0.12
30,0.17,0.17
30,0.17,0.17
30,0.17,0.17
30,0.15,0.16
30,0.17,0.17
30,0.19,0.17
30,0.17,0.17
30,0.17,0.14
30,0.17,0.17
40,0.22,0.22
40,0.25,0.22
40,0.20,0.20
40,0.23,0.23
40,0.22,0.22
40,0.20,0.20
40,0.23,0.23
40,0.22,0.22
40,0.22,0.22
40,0.22,0.22
50,0.26,0.28
50,0.28,0.28
50,0.28,0.31
50,0.26,0.26
50,0.28,0.28
50,0.28,0.28
50,0.28,0.28
50,0.26,0.26
50,0.28,0.28
50,0.28,0.28
60,0.33,0.33
60,0.34,0.31
60,0.36,0.36
60,0.36,0.36
60,0.36,0.36
60,0.31,0.33
60,0.36,0.36
60,0.34,0.36
60,0.36,0.36
60,0.31,0.34
70,0.42,0.42
70,0.42,0.42
70,0.42,0.42
70,0.40,0.37
70,0.42,0.42
70,0.42,0.42
70,0.42,0.42
70,0.40,0.40
70,0.42,0.42
70,0.42,0.42
80,0.48,0.48
80,0.46,0.44
80,0.50,0.50
80,0.48,0.51
80,0.47,0.47
80,0.43,0.43
80,0.48,0.48
80,0.50,0.48
80,0.47,0.50
80,0.43,0.45
90,0.56,0.56
90,0.56,0.56
90,0.51,0.51
90,0.56,0.56
90,0.56,0.56
90,0.56,0.56
90,0.56,0.56
90,0.51,0.51
90,0.56,0.56
90,0.56,0.59
100,0.57,0.57
100,0.61,0.62
100,0.62,0.62
100,0.61,0.63
100,0.54,0.59
100,0.62,0.62
100,0.61,0.64
100,0.62,0.63
100,0.57,0.57
100,0.54,0.57
110,0.67,0.68
110,0.67,0.69
110,0.62,0.63
110,0.67,0.70
110,0.70,0.70
110,0.74,0.74
110,0.62,0.63
110,0.67,0.70
110,0.68,0.71
110,0.67,0.67
120,0.68,0.68
120,0.78,0.81
120,0.73,0.76
120,0.81,0.83
120,0.68,0.68
120,0.73,0.76
120,0.74,0.74
120,0.73,0.76
120,0.66,0.68
120,0.75,0.76
130,0.82,0.87
130,0.86,0.92
130,0.81,0.84
130,0.90,0.93
130,0.86,0.92
130,0.88,0.91
130,0.90,0.93
130,0.90,0.93
130,0.79,0.84
130,0.82,0.85
140,0.95,0.96
140,0.95,0.95
140,0.90,0.90
140,0.88,0.90
140,0.88,0.88
140,0.95,0.97
140,0.90,0.90
140,0.86,0.89
140,0.84,0.87
140,0.84,0.90
150,0.92,0.95
150,0.93,0.93
150,0.96,0.96
150,1.01,1.04
150,1.00,1.03
150,0.84,0.89
150,0.96,0.96
150,0.96,0.96
150,0.93,0.95
150,0.85,0.86
160,1.11,1.11
160,1.02,1.02
160,0.98,1.00
160,1.02,1.05
160,1.02,1.05
160,1.09,1.12
160,1.01,1.01
160,1.02,1.02
160,1.01,1.01
160,1.10,1.12
170,1.14,1.17
170,1.18,1.18
170,1.08,1.08
170,1.14,1.17
170,1.17,1.17
170,0.97,0.98
170,1.15,1.18
170,1.17,1.17
170,1.08,1.08
170,1.08,1.10
180,1.12,1.15
180,1.22,1.22
180,1.11,1.11
180,1.23,1.23
180,1.13,1.13
180,1.15,1.13
180,1.12,1.12
180,1.23,1.22
180,1.26,1.24
180,1.21,1.21
