x, y, theta
3.23,-0.06,-0.03
6.31,-0.15,-0.03
9.96,-0.26,-0.03
13.04,-0.36,-0.03
16.13,-0.44,-0.02
18.93,-0.51,-0.02
22.02,-0.63,-0.05
25.10,-0.79,-0.06
28.46,-1.01,-0.07
31.39,-1.24,-0.09
34.61,-1.55,-0.10
38.09,-1.92,-0.12
41.44,-2.32,-0.13
44.22,-2.70,-0.14
47.27,-3.16,-0.15
50.31,-3.67,-0.17
53.63,-4.24,-0.17
56.68,-4.73,-0.15
60.01,-5.22,-0.14
63.07,-5.61,-0.12
66.14,-5.96,-0.10
69.21,-6.26,-0.09
72.28,-6.52,-0.08
75.36,-6.74,-0.07
78.58,-6.96,-0.07
81.66,-7.16,-0.06
85.02,-7.35,-0.05
88.11,-7.49,-0.04
91.33,-7.62,-0.04
94.84,-7.71,-0.01
97.78,-7.73,0.01
100.87,-7.70,0.01
104.38,-7.64,0.02
107.60,-7.58,0.02
110.97,-7.52,0.02
114.47,-7.42,0.05
118.11,-7.15,0.10
121.18,-6.82,0.11
124.11,-6.48,0.12
127.31,-6.11,0.11
131.22,-5.69,0.10
136.24,-5.20,0.09
139.18,-4.93,0.09
141.97,-4.68,0.09
145.18,-4.39,0.09
148.54,-4.09,0.09
151.89,-3.80,0.09
154.83,-3.54,0.08
158.18,-3.26,0.08
161.40,-2.99,0.08
164.75,-2.72,0.08
167.69,-2.48,0.08
170.77,-2.24,0.08
173.99,-1.99,0.07
177.34,-1.75,0.07
180.56,-1.51,0.07
183.36,-1.31,0.07
186.58,-1.08,0.07
189.66,-0.87,0.07
192.88,-0.65,0.06
198.76,-0.28,0.06
201.84,-0.10,0.06
204.78,0.07,0.05
207.58,0.22,0.05
210.66,0.39,0.05
213.60,0.55,0.05
216.69,0.71,0.05
219.77,0.87,0.05
222.71,1.02,0.05
225.65,1.17,0.05
228.74,1.30,0.04
231.54,1.41,0.04
237.15,1.62,0.03
239.95,1.71,0.03
242.90,1.81,0.03
248.37,1.96,0.03
251.17,2.04,0.03
256.36,2.18,0.03
259.16,2.26,0.03
261.97,2.34,0.03
265.05,2.43,0.03
270.52,2.59,0.03
273.33,2.68,0.03
276.27,2.78,0.03
279.08,2.86,0.03
281.88,2.94,0.03
284.69,3.02,0.03
287.49,3.10,0.03
290.29,3.18,0.03
295.62,3.34,0.03
298.43,3.42,0.03
303.62,3.56,0.03
306.42,3.63,0.03
311.75,3.76,0.02
316.80,3.85,0.01
322.13,3.91,0.01
327.32,3.95,0.00
332.23,3.96,0.00
337.00,3.96,0.00
341.77,3.95,0.00
346.26,3.95,-0.01
351.03,3.92,-0.01
355.52,3.90,-0.01
360.01,3.87,-0.01
364.64,3.84,-0.01
369.13,3.79,-0.01
373.62,3.75,-0.01
377.82,3.71,-0.01
382.31,3.67,-0.01
386.80,3.62,-0.01
391.99,3.57,-0.01
396.62,3.55,-0.00
401.67,3.53,-0.00
406.16,3.53,-0.00
410.79,3.52,0.00
415.28,3.52,0.00
419.91,3.53,0.00
424.26,3.54,0.01
428.75,3.57,0.01
432.82,3.59,0.00
437.17,3.61,0.01
441.37,3.64,0.01
445.72,3.67,0.01
449.93,3.70,0.01
453.86,3.73,0.01
457.93,3.76,0.01
461.72,3.79,0.01
465.64,3.83,0.01
469.43,3.86,0.01
473.22,3.91,0.02
477.15,3.98,0.02
480.79,4.03,0.02
484.30,4.10,0.02
488.09,4.17,0.02
491.59,4.24,0.02
495.10,4.32,0.02
498.61,4.40,0.03
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
