x, y, theta, left_speed, right_speed
11.92,0.27,0.04,0.07,0.09
23.14,0.63,0.03,0.17,0.17
36.04,1.02,0.04,0.24,0.25
47.96,1.44,0.03,0.25,0.26
63.10,1.85,0.02,0.28,0.26
74.74,2.08,0.02,0.32,0.32
88.91,2.44,0.03,0.30,0.30
100.41,2.70,0.02,0.39,0.35
113.31,2.91,0.01,0.35,0.33
126.22,3.05,0.01,0.84,0.81
140.81,3.09,0.00,0.24,0.23
153.86,3.06,-0.00,0.77,0.75
169.57,2.95,-0.01,0.36,0.35
181.63,2.83,-0.01,0.42,0.42
195.66,2.70,-0.01,0.53,0.53
206.88,2.59,-0.01,0.62,0.65
223.86,2.43,-0.01,0.42,0.41
238.31,2.22,-0.02,0.51,0.51
249.53,2.04,-0.02,0.43,0.43
266.78,1.74,-0.02,0.44,0.45
281.65,1.44,-0.02,0.47,0.47
293.29,1.21,-0.02,0.29,0.29
310.96,0.83,-0.02,0.49,0.49
326.95,0.44,-0.03,0.33,0.31
341.67,0.03,-0.03,0.50,0.51
356.68,-0.38,-0.03,0.57,0.58
372.25,-0.79,-0.03,0.30,0.30
387.25,-1.18,-0.02,0.49,0.49
403.24,-1.54,-0.02,0.57,0.58
415.16,-1.81,-0.02,0.60,0.60
432.56,-2.13,-0.02,0.49,0.49
445.32,-2.36,-0.02,0.71,0.71
462.57,-2.60,-0.01,0.40,0.41
477.72,-2.80,-0.01,0.51,0.51
489.51,-2.93,-0.01,0.29,0.29
506.06,-3.15,-0.01,0.47,0.47
519.39,-3.32,-0.02,0.54,0.53
533.97,-3.54,-0.02,0.48,0.50
549.12,-3.75,-0.01,0.57,0.57
564.55,-3.92,-0.01,0.66,0.68
579.85,-4.04,-0.01,0.41,0.41
594.44,-4.13,-0.01,0.33,0.33
607.48,-4.20,-0.00,0.52,0.53
619.97,-4.24,0.00,0.21,0.21
635.12,-4.24,0.00,0.34,0.34
646.90,-4.24,0.00,0.32,0.32
659.67,-4.23,0.00,0.36,0.38
671.17,-4.16,0.01,0.34,0.36
685.48,-4.02,0.01,0.31,0.31
697.12,-3.91,0.01,0.52,0.52
710.31,-3.76,0.01,0.25,0.26
724.06,-3.60,0.01,0.27,0.26
735.56,-3.43,0.01,0.55,0.54
747.62,-3.28,0.01,0.26,0.26
759.13,-3.13,0.01,0.25,0.28
770.63,-2.91,0.03,0.23,0.26
782.55,-2.57,0.04,0.41,0.44
795.59,-2.07,0.04,0.27,0.27
807.36,-1.64,0.03,0.24,0.24
819.28,-1.28,0.03,0.47,0.45
830.50,-0.96,0.03,0.26,0.26
841.72,-0.63,0.03,0.09,0.11
854.06,-0.23,0.04,0.11,0.11
865.83,0.20,0.04,0.23,0.26
878.31,0.78,0.05,0.11,0.13
889.65,1.38,0.05,0.13,0.14
901.41,2.11,0.07,0.20,0.22
914.15,2.97,0.06,0.16,0.14
925.77,3.72,0.07,0.18,0.20
938.23,4.61,0.08,0.16,0.18
949.97,5.53,0.08,0.16,0.18
961.86,6.49,0.08,0.15,0.17
973.61,7.39,0.07,0.12,0.12
985.23,8.17,0.05,0.14,0.11
996.86,8.55,-0.00,0.13,0.07
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
