x, y, theta, left_speed, right_speed
12.63,0.04,0.01,0.23,0.22
26.23,0.10,0.00,0.16,0.16
37.60,0.16,0.01,0.29,0.26
49.24,0.19,0.00,0.26,0.26
61.45,0.24,0.00,0.16,0.16
74.77,0.20,-0.01,0.31,0.31
86.42,0.08,-0.01,0.38,0.37
99.32,-0.14,-0.02,0.37,0.35
110.54,-0.39,-0.03,0.43,0.43
124.28,-0.76,-0.03,0.35,0.33
140.41,-1.31,-0.04,0.33,0.33
153.87,-1.79,-0.04,0.52,0.52
167.61,-2.27,-0.04,0.57,0.57
181.49,-2.77,-0.03,0.37,0.37
192.70,-3.15,-0.03,0.44,0.42
206.87,-3.60,-0.04,0.32,0.32
220.33,-4.05,-0.03,0.35,0.35
234.91,-4.47,-0.03,0.39,0.39
248.93,-4.85,-0.02,0.42,0.43
264.50,-5.17,-0.01,0.41,0.44
276.57,-5.29,-0.01,0.40,0.43
288.77,-5.33,0.00,0.69,0.72
300.70,-5.29,0.01,0.23,0.24
314.44,-5.17,0.01,0.35,0.36
328.19,-5.00,0.01,0.35,0.36
342.78,-4.79,0.01,0.35,0.37
355.97,-4.59,0.02,0.39,0.40
371.11,-4.26,0.03,0.66,0.68
382.61,-3.97,0.03,0.70,0.70
394.95,-3.61,0.03,0.26,0.28
407.01,-3.21,0.03,0.48,0.48
419.91,-2.81,0.03,0.32,0.30
436.32,-2.42,0.02,0.55,0.53
449.08,-2.15,0.02,0.29,0.29
461.71,-1.94,0.01,0.43,0.43
474.05,-1.78,0.01,0.30,0.30
487.52,-1.60,0.01,0.48,0.47
499.16,-1.47,0.01,0.47,0.47
513.61,-1.35,0.01,0.27,0.27
524.84,-1.30,-0.00,0.34,0.31
537.60,-1.33,-0.00,0.38,0.36
548.82,-1.38,-0.00,0.25,0.26
560.61,-1.40,-0.00,0.47,0.47
575.06,-1.43,-0.00,0.28,0.28
589.23,-1.46,-0.00,0.19,0.18
603.12,-1.48,-0.00,0.22,0.24
615.04,-1.50,-0.00,0.43,0.44
630.05,-1.55,-0.01,0.35,0.33
644.08,-1.63,-0.01,0.28,0.28
657.41,-1.69,-0.00,0.31,0.31
670.87,-1.73,0.00,0.31,0.31
684.90,-1.70,0.00,0.28,0.29
697.11,-1.58,0.02,0.26,0.29
709.17,-1.31,0.03,0.21,0.22
722.35,-1.00,0.02,0.29,0.28
734.28,-0.82,0.01,0.20,0.18
747.04,-0.75,-0.00,0.15,0.14
760.23,-0.76,-0.01,0.15,0.15
771.87,-0.84,-0.01,0.29,0.29
785.06,-1.00,-0.02,0.17,0.17
798.39,-1.20,-0.02,0.19,0.19
809.89,-1.41,-0.02,0.15,0.13
821.67,-1.68,-0.03,0.25,0.25
833.45,-2.01,-0.03,0.17,0.16
846.07,-2.37,-0.03,0.22,0.24
857.43,-2.63,-0.02,0.09,0.09
868.65,-2.88,-0.02,0.10,0.10
880.85,-3.16,-0.02,0.12,0.15
893.34,-3.35,-0.01,0.12,0.14
906.24,-3.48,-0.01,0.14,0.14
918.17,-3.60,-0.01,0.09,0.09
930.93,-3.85,-0.02,0.13,0.15
942.85,-4.00,-0.01,0.10,0.11
954.50,-4.03,0.00,0.07,0.07
966.14,-3.92,0.02,0.11,0.11
978.20,-3.51,0.05,0.14,0.16
990.10,-2.79,0.07,0.10,0.12
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
